id,submitdate,lastpage,startlanguage,seed,Randomisierung,Alter,Sex,Bildung,Partnerschaft,OPselbst,OPandere,BildVG,AnnaVG[Eig1],AnnaVG[Eig2],AnnaVG[Eig3],AnnaVG[Eig4],AnnaVG[Eig5],AnnaVG[Eig6],AnnaVG[Eig7],AnnaVG[Eig8],AnnaVG[Eig9],AnnaVG[Eig10],AnnaVG[Eig11],AnnaVG[Eig12],AnnaVG[Eig13],AnnaVG[Eig14],AnnaVG[Eig15],BildKG,AnnaKG[Eig1],AnnaKG[Eig2],AnnaKG[Eig3],AnnaKG[Eig4],AnnaKG[Eig5],AnnaKG[Eig6],AnnaKG[Eig7],AnnaKG[Eig8],AnnaKG[Eig9],AnnaKG[Eig10],AnnaKG[Eig11],AnnaKG[Eig12],AnnaKG[Eig13],AnnaKG[Eig14],AnnaKG[Eig15],SexCompetition[SexComp1],SexCompetition[SexComp2],SexCompetition[SexComp3],SexCompetition[SexComp4],SexCompetition[SexComp5],SexCompetition[SexComp6],SexCompetition[SexComp7],SexCompetition[SexComp8],SexCompetition[SexComp9],SexCompetition[SexComp10],SexCompetition[SexComp11],SexCompetition[SexComp12],PhysComp[PhysComp1],PhysComp[PhysComp2],PhysComp[PhysComp3],PhysComp[PhysComp4],PhysComp[PhysComp5],PhysComp[PhysComp6],PhysComp[PhysComp7],PhysComp[PhysComp8],PhysComp[PhysComp9],PhysComp[PhysComp10],BodyImage[BodyIm1],BodyImage[BodyIm2],BodyImage[BodyIm3],BodyImage[BodyIm4],BodyImage[BodyIm5],BodyImage[BodyIm6],BodyImage[BodyIm7],BodyImage[BodyIm8],ACSS[ACSS1],ACSS[ACSS2],ACSS[ACSS3],ACSS[ACSS4],ACSS[ACSS5],ACSS[ACSS6],ACSS[ACSS7],ACSS[ACSS8],ACSS[ACSS9],ACSS[ACSS10],ACSS[ACSS11],ACSS[ACSS12],ACSS[ACSS13],ACSS[ACSS14],ACSS[ACSS15]
502,1/1/1980 0:00,8,de,1983436717,2,29,1,3,1,0,0,,,,,,,,,,,,,,,,,,3,4,3,4,3,4,4,4,4,2,2,4,4,2,2,2,2,1,5,1,2,1,1,5,2,1,1,2,1,1,1,1,2,2,1,1,1,2,2,1,2,2,1,4,2,6,6,3,4,7,5,5,2,1,2,1,2,1,4,3
503,,3,de,1540847155,2,31,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,1/1/1980 0:00,8,de,1743307859,1,26,1,3,0,0,1,"Eitel
",3,5,4,2,4,5,5,5,5,2,2,5,5,3,1,,,,,,,,,,,,,,,,,1,2,1,4,1,1,1,1,7,3,1,1,4,1,1,5,5,5,5,5,5,5,2,5,7,7,3,7,1,7,7,7,3,5,7,7,7,7,1,1,1,1,1,7,1
505,1/1/1980 0:00,8,de,747643342,1,56,1,4,1,0,1,,3,4,3,3,5,5,5,5,3,3,2,4,5,2,1,,,,,,,,,,,,,,,,,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,5,6,6,4,3,7,3,4,4,4,1,4,4,1,4,4,1,7,1,1,1,4,1
506,1/1/1980 0:00,8,de,1379642702,1,19,1,2,0,0,0,"Unsichere, versucht sich und anderen besser zu gefallen.",4,5,5,3,2,4,5,3,5,5,5,3,5,5,2,,,,,,,,,,,,,,,,,5,7,7,7,4,6,7,2,4,7,7,2,5,4,3,5,5,5,5,5,5,5,7,7,7,4,7,7,7,7,5,7,4,3,5,7,7,7,3,4,1,1,1,6,7
507,1/1/1980 0:00,8,de,1208044974,2,26,1,2,0,1,1,,,,,,,,,,,,,,,,,"organisiert, unabhängig, selbstständig",5,2,2,3,5,5,5,4,1,1,1,4,4,1,1,3,2,2,4,1,1,2,1,5,3,2,2,4,2,3,3,4,3,3,2,2,3,3,4,4,3,4,5,4,5,6,5,3,4,7,1,2,3,1,1,2,1,1,5,1
508,1/1/1980 0:00,8,de,990022019,1,21,1,3,1,0,1,,4,5,4,2,2,5,5,5,5,1,2,1,5,4,1,,,,,,,,,,,,,,,,,1,1,1,7,1,1,1,1,5,7,1,1,5,2,4,5,5,5,5,5,1,1,2,5,3,5,2,5,1,2,7,7,7,7,7,7,7,7,1,1,1,7,4,7,7
509,1/1/1980 0:00,8,de,1944066855,1,20,1,1,0,1,1,"Perfektionistin
Mutig
",2,3,1,1,5,5,5,5,1,1,1,4,5,2,1,,,,,,,,,,,,,,,,,1,1,3,2,1,1,3,1,1,1,1,1,5,4,3,5,5,4,4,3,3,3,1,1,1,1,1,7,1,1,7,7,7,7,7,7,7,7,1,1,1,1,4,7,2
510,1/1/1980 0:00,8,de,1845274517,2,23,1,4,0,0,0,,,,,,,,,,,,,,,,,Selbstbewusst,5,5,4,2,5,5,5,4,1,3,1,5,5,3,2,1,6,7,7,1,1,1,1,7,7,1,7,5,1,1,1,1,1,1,1,1,1,1,3,7,4,7,7,4,7,7,4,5,1,7,7,5,7,1,1,1,1,1,7,1
511,,3,de,690717284,2,18,2,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
